id-paquete,tipo,valor,origen,destino,intentos,fecha_entrega
3,retail,110,tienda-C,casa-C,2,19-10-2020 20:10
2,retail,12,tienda-B,casa-B,1,19-10-2020 20:10
5,retail,100,tienda-B,casa-Q,1,19-10-2020 20:10
7,retail,20,tienda-B,casa-C,1,19-10-2020 20:10
11,retail,25,tienda-C,casa-A,1,19-10-2020 20:10
9,retail,20,tienda-A,casa-F,1,19-10-2020 20:10
14,retail,80,tienda-B,casa-A,1,19-10-2020 20:10
13,retail,6,tienda-C,casa-N,1,19-10-2020 20:10
18,retail,105,tienda-C,casa-C,1,19-10-2020 20:10
17,retail,30,tienda-A,casa-A,1,19-10-2020 20:10
