timestamp,id-paquete,tipo,nombre,valor,origen,destino,seguimiento
2020-10-19 20:10:04,1,retail,Polera,10,tienda-A,casa-A,0
2020-10-19 20:10:05,2,retail,Pantalón,12,tienda-B,casa-B,0
2020-10-19 20:10:06,3,retail,Televisor,110,tienda-C,casa-C,0
2020-10-19 20:10:07,4,retail,Consola de Videojuegos,95,tienda-A,casa-D,0
2020-10-19 20:10:08,5,retail,Lavadora,100,tienda-B,casa-Q,0
2020-10-19 20:10:09,6,retail,Polerón,15,tienda-C,casa-A,0
2020-10-19 20:10:10,7,retail,Parca,20,tienda-B,casa-C,0
2020-10-19 20:10:11,8,retail,Pelota,5,tienda-C,casa-P,0
2020-10-19 20:10:12,9,retail,Raqueta,20,tienda-A,casa-F,0
2020-10-19 20:10:13,10,retail,Refrigerador,120,tienda-B,casa-U,0
2020-10-19 20:10:14,11,retail,Tostador,25,tienda-C,casa-A,0
2020-10-19 20:10:15,12,retail,Perfume,15,tienda-A,casa-N,0
2020-10-19 20:10:16,13,retail,Tobillera,6,tienda-C,casa-N,0
2020-10-19 20:10:17,14,retail,Notebook,80,tienda-B,casa-A,0
2020-10-19 20:10:18,15,retail,Set de ollas,50,tienda-C,casa-C,0
2020-10-19 20:10:20,16,retail,Parlante,25,tienda-C,casa-E,0
2020-10-19 20:10:21,17,retail,Lampara,30,tienda-A,casa-A,0
2020-10-19 20:10:22,18,retail,Sillón,105,tienda-C,casa-C,0
2020-10-19 20:10:23,19,retail,Mesa,90,tienda-A,casa-S,0
2020-10-19 20:10:24,20,retail,Cama,115,tienda-B,casa-A,0
